,Emoji,Hausa word 1,Hausa word 2,Hausa word 3,Hausa word 4,Hausa word 5,English word 1,English word 2,English word 3,English word 4,English word 5
0,♂,abin kunya,toka,kula,cin amana,yarjejeniya,scandalous,soot,watchout,betray,indenture
1,❤,minti na ƙarshe,na ƙwarai,ba lafiya,lafiya,na kullum,lastminute,superb,unwell,soundness,chronic
2,️,jami'a,kimiyya,makarantar sakandare,filin wasa,boca,university,scientific,gradschool,playground,voucher
3,🇬,rushe,tasiri,halitta,rauni,sa ido,demolish,effective,creature,wound,surveillance
4,🇳,mai nema,mai ban murna,likitanci,mai ɗaci,mai kawaici,applicant,delightful,chemist,bitterly,timid
5,🏃,ƙuraje,kuraje,na abinci,kwafi,igwa,cystic,pimple,dietary,transcript,cannon
6,🏻,tsaurin ra'ayi,jami'i,dabi'u,aibi,jami'in,rabid,officer,morals,flaw,official
7,🏼,faru,a hankali sosai,miya,ilmin kimiya na kayan tarihi,takaici,happen,soslow,pho,archaeology,frustrated
8,🏽,wurin haihuwa,biyan kuɗi,bashi,lambar yabo,tsiro,birthplace,subscribe,debt,award,germination
9,👌,raini,ra'i,rakun,musaya,malala,contemptuous,theorem,raccoon,exchange,draining
10,👍,maras ban sha'awa,ba da sha'awa,ba a yarda ba,ba ya nan,sha a babban kofi,dull,fascinate,disapproved,absentee,swig
11,👏,butulci,ajiya,noma,sahihanci,jeri,ungrateful,depository,cultivate,authenticity,serial
12,💔,na zamantakewa,rufe da ƙarfi,mafi muni,rashin ƙarfi,na ƙarfafa guiwa,socially,slam,worstfeeling,volatility,motivating
13,💪,alama,sananne,yarda,zalunci,rataya,symptom,notoriety,acceptances,brutality,hangry
14,💯,tawayar,mummunan wada,wanda ba a iya misaltawa,takura,wada,depressed,gnome,unimaginable,restrain,gnome
15,🔥,kashe,darasi,masanin taurari,marasa tausayi,marasa imani,assassinate,lesson,astrologer,ruthless,faithless
16,😀,maimaitawa,kashi,kuraje,cikin ido,majefin wasa,recurrent,stools,pimple,iris,boomerang
17,😁,wannan lokacin,untuk,shigarwar,goge,bazuwar,thatmoment,untuk,involution,scrub,decomposition
18,😂,taɓarɓarewa,ƙoto,shiga turɓaya,makoki,an katange,deterioration,bait,wallow,mournful,fenced
19,😃,'yan ta'adda,'yan tawaye,kash,girbi,sumbata,terrorist,rebel,alas,harvest,kiss
20,😄,makari,marar daɗi ƙwarai,gwaninta,damu akai-akai,guloriya,visor,awful,mastery,harry,gonorrhea
21,😅,ya ji rauni,ya ki,ya ɓace,tsinkaya,yashe,injured,refused,vanished,predispose,deserted
22,😆,fuskar mutum,tarkacen jirgin ruwa,ture,idc,a kan lokaci,mug,shipwreck,shove,pawn,punctual
23,😊,akai-akai,halal,na ƙwarai,damu akai-akai,yankan farce,constant,lawful,superb,harry,manicure
24,😍,ciwon ciki,lafiya,kirki,halin kirki,miji,dysentery,soundness,kind,moral,husband
25,😎,iƙirari,mai iƙirari,ba maƙasudi,rashin mutuntaka,kewarka,confession,confessional,nopoint,inhuman,missingyou
26,😏,tasiri,nuna rashin kulawa,fitar maniyyi,koyarwa,gwaji,effective,callous,ejaculation,instruction,experiment
27,😒,janar,kashin baya,zuwa,jagorori,kantin magani,general,pokes,patronising,guidelines,pharmacy
28,😠,sharri,rashin aure,kira,zargi,kashi,spiteful,incestuous,invoke,accusing,stools
29,😡,gazawar fahimta,fahimta,zawarci,babba,inzali,disconnect,understanding,courtship,gross,orgasm
30,😢,yan ta'adda,sufi,arewa,fawa,shari'a,terrorist,monk,kita,phew,judicial
31,😥,mai laifi,laifi,yanke wuya,iskar guba,babban laifi,criminal,criminality,cutthroat,radiation,felon
32,😭,wanda aka azabtar,matsala,matacce,magance,ruwa,victim,hassle,stillborn,tackle,hydra
33,🙄,kuturta,annabta,diyya,ɓarawo,shadda,leprosy,predict,damages,thief,loo
34,🙌,na soja,a miƙe,yaaaaa,kanar,na uwa,martial,upright,yaaaay,colonel,maternal
35,🙏,kasafin kuɗi,biyan kuɗi,na kuɗi,kuɗi,sadarwa,budget,subscribe,monetary,fee,communicate
36,🚶,an gyara,turare,ci gyara,wanda ba a iya kusantarsa,karye,edited,incense,criticize,unimpeachable,broken
37,🤔,tsaya,fashewa,fuska,cikin ido,fuska biyu,halter,detonation,countenance,iris,twofaced
38,🤣,hauhawar farashin kaya,mayar da hankali,jan hankali,barka da sabuwar shekara,bakin tekun tema,inflation,rapt,attraction,happynewyear,tema
39,🤲,maƙwabci,mashin,gaskatawa,lodi fiye da ƙima,hamma,neighbor,machine,authentication,overload,hammering
40,🤷,maƙaryaci,rufe,tsare,gudanar da fushi,babban dare,liar,shutit,confine,angermanagement,greatnight
